,G2700530005901,G2700530005902,G2700530006800,G2700530007700,G2700530007801,G2700530008100,G2700530008200,G2700530008300,G2700530008400,G2700530008500,G2700530009500,G2700530009600,G2700530010600,G2700530010700,G2700530011000,G2700530011703,G2700530021800,G2700530022000,G2700530022700,G2700530022801,G2700530022802,G2700530022901,G2700530022902,G2700530023000,G2700530023100,G2700530023600,G2700530103400,G2700530104100,G2700530104400,G2700530105100,G2700530105201,G2700530105204,G2700530105500,G2700530105600,G2700530105700,G2700530106000,G2700530106500,G2700530106600,G2700530106700,G2700530106900,G2700530107000,G2700530108000,G2700530108600,G2700530109100,G2700530109200,G2700530109300,G2700530109400,G2700530109700,G2700530109800,G2700530109900,G2700530110000,G2700530110800,G2700530110900,G2700530111200,G2700530111300,G2700530111400,G2700530111500,G2700530111600,G2700530125800,G2700530125900,G2700530126000,G2700530126102,G2700530126201,G2700530126202,G2700530126300
G2700530109200,0,1,2,19,0,41,17,2,2,3,1,0,1,5,1,2,0,5,0,0,0,3,0,1,0,0,0,1,1,0,0,2,2,4,0,0,3,3,12,2,1,21,1,11,0,20,0,1,3,12,0,4,0,0,8,7,2,0,3,0,2,4,7,0,2
G2700530109300,2,5,1,14,11,24,69,12,12,4,3,3,3,6,4,0,0,1,1,0,0,1,0,1,1,1,0,2,6,0,0,2,9,1,0,2,3,3,21,10,1,15,3,8,20,0,9,1,3,37,3,22,6,0,9,0,10,3,7,1,3,3,1,0,1
G2700530109400,2,3,0,7,1,3,7,25,19,11,26,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,2,0,4,0,2,2,2,0,0,0,1,0,9,0,4,0,4,23,4,15,0,1,0,8,9,7,3,14,0,2,0,0
G2700530109700,1,3,0,1,0,0,3,0,2,28,2,16,0,1,10,6,0,1,0,0,0,0,0,0,0,2,0,1,6,0,1,1,0,0,1,3,0,0,0,0,1,0,45,0,1,1,4,0,0,2,3,2,2,0,1,0,0,1,8,10,4,11,1,0,0
G2700530109800,0,0,1,1,2,2,0,0,0,0,0,0,28,1,0,2,1,6,0,1,4,3,5,2,27,23,0,0,1,2,0,0,1,0,1,0,4,2,2,1,2,4,1,37,3,3,0,0,0,26,0,0,0,20,17,6,6,0,0,1,0,5,2,1,0
G2700530109900,0,2,3,12,5,25,9,6,7,3,9,3,50,28,5,4,1,5,1,0,0,2,3,0,3,20,0,0,5,0,0,0,6,5,4,0,3,0,7,4,1,14,2,59,12,37,4,2,26,0,10,60,24,3,52,28,19,3,5,0,3,0,3,2,3
G2700530110000,0,1,0,1,1,4,0,1,15,8,26,6,0,1,9,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1,0,1,2,2,0,0,2,0,3,23,3,0,10,0,8,51,0,0,3,2,12,0,3,6,2,1,0,0
G2700530110800,0,0,4,6,0,6,4,3,5,1,2,2,3,37,15,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,1,1,0,1,2,2,3,2,1,1,6,4,22,4,2,0,60,8,0,30,0,6,15,23,19,1,2,3,5,3,0,1
G2700530110900,8,7,1,5,5,3,3,1,20,11,36,10,1,8,60,13,0,2,4,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,1,2,3,0,5,1,1,0,3,2,0,6,15,2,0,24,51,30,0,1,5,15,23,53,2,4,5,12,1,1,1
G2700530111200,0,0,0,2,1,2,1,0,0,0,0,0,14,0,0,0,1,4,3,4,0,2,2,2,2,26,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,3,0,3,0,0,0,0,20,3,0,0,1,0,14,13,7,4,1,0,0,3,0,0,0
G2700530111300,0,1,3,7,1,9,3,1,1,0,0,0,40,5,0,2,2,3,1,1,0,2,1,6,0,15,0,0,1,0,0,0,13,0,0,0,1,2,2,0,0,2,0,2,8,9,1,1,17,52,0,6,5,14,0,101,27,4,3,0,0,1,1,0,0
G2700530111400,0,0,3,3,1,10,6,0,0,0,0,0,20,11,2,7,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,5,1,0,1,6,7,0,0,0,6,28,3,15,15,13,101,0,98,12,0,1,0,3,2,1,0
G2700530111500,0,0,1,4,2,10,9,8,0,4,2,1,7,1,2,6,0,0,1,0,0,4,0,1,1,6,2,1,6,0,1,2,1,2,3,3,1,2,5,1,0,3,0,7,2,10,8,0,6,19,2,23,23,7,27,98,0,67,5,1,1,6,1,0,2
G2700530111600,0,2,0,1,0,3,2,4,8,7,4,1,0,5,23,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,3,1,1,0,1,1,0,3,9,1,0,3,12,19,53,4,4,12,67,0,1,7,7,6,1,0,0
G2700530125800,10,22,5,14,3,5,6,6,24,34,7,6,3,1,1,3,0,3,1,0,0,0,0,0,1,0,3,6,3,2,0,9,0,4,8,25,2,1,2,6,4,4,19,1,3,7,7,8,0,5,0,1,2,1,3,0,5,1,0,63,35,11,6,1,4
G2700530125900,7,14,5,8,3,0,10,8,27,32,2,4,1,1,6,7,0,1,0,0,0,2,0,0,0,0,3,0,11,1,2,3,1,3,8,45,0,0,6,13,9,1,38,0,0,1,3,10,1,0,3,2,4,0,0,1,1,7,63,0,17,4,3,3,2
G2700530126000,12,54,9,19,9,7,16,22,41,24,5,3,2,2,3,0,1,0,0,0,1,2,0,1,0,0,1,2,17,2,2,7,3,4,12,11,0,2,9,23,6,2,8,1,2,3,14,4,0,3,6,3,5,0,0,0,1,7,35,17,0,18,7,2,3
G2700530126102,28,72,9,16,2,6,9,5,2,10,5,0,4,0,2,1,3,12,0,4,4,6,0,4,2,2,17,17,189,5,22,24,22,28,29,26,5,1,9,11,9,11,7,8,4,3,0,11,5,0,2,5,12,3,1,3,6,6,11,4,18,0,92,100,23
G2700530126201,10,15,12,15,0,3,2,1,0,5,1,8,0,1,0,2,1,8,0,3,1,3,0,0,0,1,70,27,74,6,23,15,11,24,11,16,2,0,5,5,2,1,4,1,7,1,2,1,2,3,1,3,1,0,1,2,1,1,6,3,7,92,0,69,44
G2700530126202,0,0,1,2,0,2,0,0,3,2,0,0,0,0,0,1,3,3,0,2,2,4,0,1,3,2,11,7,18,4,2,6,2,3,3,1,0,1,6,1,7,1,3,3,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,3,2,100,69,0,20
G2700530126300,2,6,0,6,5,2,0,2,1,1,0,0,0,0,0,0,4,0,0,0,0,2,0,3,0,0,41,14,14,0,0,6,5,2,4,3,5,0,4,1,0,1,1,3,2,1,0,0,0,3,0,1,1,0,0,0,2,0,4,2,3,23,44,20,0
